ID,Timestamp,Tweet URL,Group,Collector,Category,Topic,Keywords,Account handle,Account name,Account bio,Account type,Joined,Following,Followers,Location,Tweet,Tweet Translated,Tweet Type,Date posted,Screenshot,Content type,Likes,Replies,Retweets,Quote Tweets,Views,Rating,Reasoning,Remarks,Reviewer,Review
11-11,29/03/23 03:15:43,https://twitter.com/bluebluerskies/status/1305961432798965760,11,"Bonuan, Juan Antonio",MRCS,Philippines richest in Asia under Marcos Sr. administration,Philippines Richest Marcos,@bluebluerskies,Skye Bleux 💖,"🙏🙏🙏

🇵🇭 
@bongbongmarcos
 2022
President Marcos http://bit.ly/3hyyCc2
Imelda Marcos http://bit.ly/3OdjheG",Anonymous,03/11,2645,1269,🌏,"Marcos was more popular than Lee Kuan Yew in the ASEAN. And the Philippines was TIGER OF ASIA, was 2nd richest in Asia, more ahead of Singapore back then. Watch this

{Alt-Video URL: Title of YouTube video is SYND 2 3 80 SIGNAPORE PRESIDENT LEE KUAN YEW VISITS PRESIDENT MARCOS}",,"Text, URL",16/09/20 04:07,https://drive.google.com/file/d/1z1UtqMVVQX0ILvYjLuA6uFWeHX-qkHMH/view?usp=share_link,Rational,0,1,0,0,,,"During Marcos' term as president, the highest ranking that the Philippines reached in Asia was 10th in terms of GDP and 11th in terms of GDP per capita. The Philippines was never close to being in the top five in Asia in either of these economic measures. 

[https://www.rappler.com/newsbreak/fact-check/philippines-richest-country-next-japan-marcos-term/]",,,
11-12,31/03/23 05:28:03,https://twitter.com/NayrbZepal/status/1318402822010884097,11,"Bonuan, Juan Antonio",MRCS,Philippines richest in Asia under Marcos Sr. administration,Next Marcos Japan,@NayrbZepal,"yan
","I love my Country🇵🇭
Marcos Loyalist/
Duterte Supporters",Anonymous,10/20,373,61,"Rehiyon ng Gitnang Visayas, Re","Kung bagsak ang economy during marcos time bakit 2nd tayo sa pinaka mayaman sa Asia next to Japan. Aware kaba na sinakop tayo ng spain for almost 333 years, America and Japan 3 years. Meaning bagsak ang economy natin.",,"Text, Reply",20/10/20 12:05,https://drive.google.com/file/d/1YFtIqOJGySAItfMVap12K8IAIXouXRDo/view?usp=share_link,Emotional,0,0,0,0,,,"During the Marcos regime, Japan was among the top 3 Asian countries in terms of GDP. In contrast, the Philippines never ranked near the top 5 in Asia in GDP or GDP per capita.

[https://www.rappler.com/newsbreak/fact-check/philippines-richest-country-next-japan-marcos-term/]",,,
11-13,29/03/23 03:28:21,https://twitter.com/trianglestomac1/status/1291579838730342400,11,"Bonuan, Juan Antonio",MRCS,Philippines richest in Asia under Marcos Sr. administration,Philippines Richest Marcos,@trianglestomac1,trianglestomache,"I am highly intelligent+NOT easily scammed or tricked by usa gov fake news media ,unlike some easy to emotionally  manipulate brain washed   people .",Anonymous,05/20,1915,1105,,"Philippines used to be 2nd richest country in asia during period of Marcos.After Aquino family took over,Philippines has been going downhill ever since. After Duterte took over, things seem to be getting better as Philippines decided to rely less on useless war mongering usa gov",,"Text, Reply",07/08/20 11:40,https://drive.google.com/file/d/13Yz47BXIoVxstkSLHkrq5TGiVPD7H9vZ/view?usp=share_link,Emotional,34,3,8,1,,,"During Marcos' term as president, the highest ranking that the Philippines reached in Asia was 10th in terms of GDP and 11th in terms of GDP per capita. The Philippines was never close to being in the top five in Asia in either of these economic measures. 

[https://www.rappler.com/newsbreak/fact-check/philippines-richest-country-next-japan-marcos-term/]",User has no account location,,
11-14,29/03/23 03:33:20,https://twitter.com/jervincnnn/status/1289961704093184003,11,"Bonuan, Juan Antonio",MRCS,Philippines richest in Asia under Marcos Sr. administration,Philippines Richest Marcos,@jervincnnn,𝚅𝙸𝙽𝙾𝙾,𝚝𝚎 𝚚𝚞𝚒𝚎𝚛𝚘 | EXO,Anonymous,02/16,787,1630,Somewhere In The Philippines,In Short Maganda Ang Palakad Ni Marcos During His Time And Philippines At That Time Was The Richest Country In Asia,,"Text, Reply",03/08/20 12:30,https://drive.google.com/file/d/1H1dYp-PGRBeMCIc0icJG0-5aGuuv7T0k/view?usp=share_link,Emotional,1,1,1,1,,,"During Marcos' term as president, the highest ranking that the Philippines reached in Asia was 10th in terms of GDP and 11th in terms of GDP per capita. The Philippines was never close to being in the top five in Asia in either of these economic measures. 

[https://www.rappler.com/newsbreak/fact-check/philippines-richest-country-next-japan-marcos-term/]",,,
11-15,29/03/23 03:36:03,https://twitter.com/bluebluerskies/status/1289504056487051264,11,"Bonuan, Juan Antonio",MRCS,Philippines richest in Asia under Marcos Sr. administration,Philippines Richest Marcos,@bluebluerskies,Skye Bleux 💖,"🙏🙏🙏

🇵🇭 
@bongbongmarcos
 2022
President Marcos http://bit.ly/3hyyCc2
Imelda Marcos http://bit.ly/3OdjheG",Anonymous,03/11,2645,1269,🌏,"After Marcos left, everything the government did was destroy Marcos projects. In fact, Marcos made the Philippines 2nd richest country. He focused on education and based his government on MERITROCRACY, while the ones that followed had Kleptocracy but put all the blame on Marcos.",,"Text, Reply",01/08/20 18:11,https://drive.google.com/file/d/1QlpVuTzmb1hbj2dss9ZEu4fiKPFO0rxm/view?usp=share_link,Emotional,1,0,0,0,,,"During Marcos' term as president, the highest ranking that the Philippines reached in Asia was 10th in terms of GDP and 11th in terms of GDP per capita. The Philippines was never close to being in the top five in Asia in either of these economic measures. 

[https://www.rappler.com/newsbreak/fact-check/philippines-richest-country-next-japan-marcos-term/]",,,
11-16,31/03/23 05:24:32,https://twitter.com/09393526746smar/status/1128533593754497024,11,"Bonuan, Juan Antonio",MRCS,Philippines richest in Asia under Marcos Sr. administration,Next Marcos Japan,@09393526746smar,"Gab
",fuck me. always horny.,Anonymous,05/19,26,6,,"Philippines had the lowest crime rate nung panahon ni Ferdinand Marcos, We were  next to japan when it comes to economy, Many Useful Buildings have been erected and helped so many people here in the Philippines, Eh nung Si Cory Aquino na namahala, it was the start of +++",,"Text, Reply",15/05/19 13:32,https://drive.google.com/file/d/1ZoYFZmzCyrabXROO71-yubZODgKivSa8/view?usp=share_link,Rational,17,4,5,0,,,"During the Marcos regime, Japan was among the top 3 Asian countries in terms of GDP. In contrast, the Philippines never ranked near the top 5 in Asia in GDP or GDP per capita.

[https://www.rappler.com/newsbreak/fact-check/philippines-richest-country-next-japan-marcos-term/]",Account has no location,,
11-17,31/03/23 05:16:14,https://twitter.com/ItableMa/status/1170511466073448451,11,"Bonuan, Juan Antonio",MRCS,Philippines richest in Asia under Marcos Sr. administration,Next Marcos Japan,@ItableMa,Ma. Lorida L. Itable,"Doctor of Optometry
(Optometrist)",Identified,10/17,195,56,Manila Philippines,"Economy wise we were next to Japan during Marcos time,as far as I can remember,,1 US dollar against 7Php. One peso and 80 cents pinakamagandang bigas. And no substandard products that time. We were projected to be Asia's best pero nasira lahat.",,"Text, Reply",08/09/19 09:37,https://drive.google.com/file/d/11F9KyF3h37OBpFovoY0uMb6EgOA1Z3uF/view?usp=share_link,Emotional,0,1,0,0,,,"During the Marcos regime, Japan was among the top 3 Asian countries in terms of GDP. In contrast, the Philippines never ranked near the top 5 in Asia in GDP or GDP per capita.

[https://www.rappler.com/newsbreak/fact-check/philippines-richest-country-next-japan-marcos-term/]",,,
11-18,29/03/23 04:51:17,https://twitter.com/Jimgineeeeer/status/1127597150110511104,11,"Bonuan, Juan Antonio",MRCS,Philippines richest in Asia under Marcos Sr. administration,Richest Marcos,"@Jimgineeeeer
",Jim,,Identified,09/14,143,84,Manila,On marcos regimen the philipine is the richest country. But when aquino comes what happen. Hahahahaha,,Text,12/05/19 23:31,https://drive.google.com/file/d/1GCZ8c5LbVIAyouaedZMFn07h1M4hBmrK/view?usp=share_link,Emotional,1,0,0,0,,,"During Marcos' term as president, the highest ranking that the Philippines reached in Asia was 10th in terms of GDP and 11th in terms of GDP per capita. The Philippines was never close to being in the top five in Asia in either of these economic measures. 

[https://www.rappler.com/newsbreak/fact-check/philippines-richest-country-next-japan-marcos-term/]",Account has no bio,,
11-19,29/03/23 04:56:38,https://twitter.com/dzrhnews/status/1115769181029326848,11,"Bonuan, Juan Antonio",MRCS,Philippines richest in Asia under Marcos Sr. administration,Richest Marcos,"@dzrhnews
","DZRH NEWS
","The official Twitter account of radio station DZRH, Manila Broadcasting Company, Ang Kaunaunahan sa Pilipinas.",Media,09/09,1114,133461,"Manila, Philippines","#Desisyon2019 
@EgayErice
: Tulad noong panahon ni Marcos na tayo ang second richest country [sa Asya] sunod sa Japan, two-party system tayo noon.",,Text,10/04/19 08:11,https://drive.google.com/file/d/13JeIrN2pWp3duStWRVHcoALYlecAjjAf/view?usp=share_link,Rational,0,1,0,0,,,"During the Marcos regime, Japan was among the top 3 Asian countries in terms of GDP. In contrast, the Philippines never ranked near the top 5 in Asia in GDP or GDP per capita.

[https://www.rappler.com/newsbreak/fact-check/philippines-richest-country-next-japan-marcos-term/]","Tweet is from a Media account, which is a transcription from an interview conducted by them

Tweet is part of a thread",,
11-20,29/03/23 05:05:44,https://twitter.com/iamshoberamos/status/1336252110606802944,11,"Bonuan, Juan Antonio",MRCS,Philippines richest in Asia under Marcos Sr. administration,Richest Marcos,@iamshoberamos,Shobe Seo Ramos (Koryana),He/Him 🏳️‍🌈 • Asian • Pisces | Books • KDrama | Sports • Random,Anonymous,05/13,867,1928,Seoul,"- Noong panahon ni Ferdinand Marcos ang Pilipinas ay naging ""Second Richest Country in Asia.""

- Noong panahon ni Cory Aquino ang Pilipinas ay naging ""Third World Country."" magpahanggang ngayon.",,Text,08/12/20 18:11,https://drive.google.com/file/d/1HOE1bKm7lfMWx8Z08ThD0ntbuj1Vjelb/view?usp=share_link,Rational,33,0,11,2,,,"During Marcos' term as president, the highest ranking that the Philippines reached in Asia was 10th in terms of GDP and 11th in terms of GDP per capita. The Philippines was never close to being in the top five in Asia in either of these economic measures. 

[https://www.rappler.com/newsbreak/fact-check/philippines-richest-country-next-japan-marcos-term/]",,,
11-21,28/03/2023 11:15:55,https://twitter.com/Mknoicaciiid/status/729942022551801857,11,"Balete, Immanuel Josiah",MRCS,Philippines richest in Asia under Marcos Sr. administration,martial law richest,@Mknoicaciiid,Yookachu,,Anonymous,01/15,1676,839,,"Yes, his father might have declared Martial Law but admit it or not,he was able to make the PH as one of the richest country in Asia #BBM4VP",,Text,10/5/16 15:51,https://drive.google.com/file/d/174j3cjTtInbmXnNynq__0cr_GejKDcxU/view?usp=share_link,Emotional,2,0,1,0,,,"This requires more context. Marcos was excessively loaning, causing national debt to grow to 24.4 billion dollars. While this allowed for economic ""growth"", the country's development crashed when we failed to settle these debts.

[https://econ.upd.edu.ph/perse/?p=5058]","No bio, location",,
11-22,28/03/2023 12:08:58,https://twitter.com/AnnBrul/status/730963384301031424,11,"Balete, Immanuel Josiah",MRCS,Philippines richest in Asia under Marcos Sr. administration,martial law richest,@AnnBrul,Joyce Anne Brul,Thats It,Identified,12/15,789,249,Republic of the Philippines,sa panahon ng lolo ni sandro we are the 2nd most richest country. They are just focusing sa martial law. Hay,,"Text, Reply",13/05/16 11:30,https://drive.google.com/file/d/1hC0XN6l3wLMW2yGbCTfHml9QkRB6Fare/view?usp=share_link,Emotional,1,6,0,0,,,"During Marcos' term as president, the highest ranking that the Philippines reached in Asia was 10th in terms of GDP and 11th in terms of GDP per capita. The Philippines was never close to being in the top five in Asia in either of these economic measures. 

[https://www.rappler.com/newsbreak/fact-check/philippines-richest-country-next-japan-marcos-term/]",Part of thread,,
11-23,28/03/23 12:11:00,https://twitter.com/enaaaaf/status/722063952637628417,11,"Balete, Immanuel Josiah",MRCS,Philippines richest in Asia under Marcos Sr. administration,marcos richest,@enaaaaf,tomooonooh,yiuh,Anonymous,09/15,2,311,,@GodwinJasemers7 fyi during Marcos regime Philippines was the richest asian country! That would be great #KarapatanKo,,Text,18/04/16 22:07,https://drive.google.com/file/d/11K35t2ATzBhMkKoHsaufvj5r8KtQChUo/view?usp=share_link,Rational,0,0,0,0,,,"During Marcos' term as president, the highest ranking that the Philippines reached in Asia was 10th in terms of GDP and 11th in terms of GDP per capita. The Philippines was never close to being in the top five in Asia in either of these economic measures. 

[https://www.rappler.com/newsbreak/fact-check/philippines-richest-country-next-japan-marcos-term/]","No location

Can also be classified as emotional",,
11-24,28/03/2023 12:15:28,https://twitter.com/imChistianCarlo/status/799492311881289728,11,"Balete, Immanuel Josiah",MRCS,Philippines richest in Asia under Marcos Sr. administration,marcos richest,@imChistianCarlo,ChristianCarloSamson,INSTAGRAM -https://instagram.com/imchistiancarlo/… FACEBOOK - https://facebook.com/christiancarlo.samson… TWITTER- https://twitter.com/imChistianCarlo,Identified,08/11,723,377,Makati City,No President in the Philippine history had made our country as the 2nd richest in Asia only President Marcos #OccupyLNMB #MarcosIsAHero,,Text,18/11/16 13:59,https://drive.google.com/file/d/1RVSWq-zcya-HiLj5os3pXldj_iYeIDYK/view?usp=share_link,Emotional,96,13,62,16,,,"During Marcos' term as president, the highest ranking that the Philippines reached in Asia was 10th in terms of GDP and 11th in terms of GDP per capita. The Philippines was never close to being in the top five in Asia in either of these economic measures. 

[https://www.rappler.com/newsbreak/fact-check/philippines-richest-country-next-japan-marcos-term/]",,,
11-25,28/03/23 12:17:56,https://twitter.com/DGaroy/status/802160980880814082,11,"Balete, Immanuel Josiah",MRCS,Philippines richest in Asia under Marcos Sr. administration,marcos richest,@DGaroy,Denver Garoy,ILOCANO,Identified,12/14,64,6,,Philippines is the 3rd RICHEST COUNTRY DURING PRES. MARCOS ADMINISTRATION..... #MARCOSBAYANI #MarcosIsAHero,,Text,25/11/16 22:44,https://drive.google.com/file/d/15INvYlmw0iKD9dNUrbd567jVJjDNxfob/view?usp=share_link,Rational,1,0,1,0,,,"During Marcos' term as president, the highest ranking that the Philippines reached in Asia was 10th in terms of GDP and 11th in terms of GDP per capita. The Philippines was never close to being in the top five in Asia in either of these economic measures. 

[https://www.rappler.com/newsbreak/fact-check/philippines-richest-country-next-japan-marcos-term/]",No location,,
11-26,28/03/23 12:20:59,https://twitter.com/hazelTria/status/709708829009666048,11,"Balete, Immanuel Josiah",MRCS,Philippines richest in Asia under Marcos Sr. administration,marcos richest,@hazelTria,TRia Macalangan,I can do all things through Jesus Christ who give me strength :),Identified,08/09,563,182,philippines,"Marcos is not our enemy. He even make Philippines, one of the richest and fast growing economy in the asia.

#HindiAkoAngNakaraan",,Text,15/03/16 19:52,https://drive.google.com/file/d/19KjvG147_kAPFTGeBiiIvl9kP79IJWqh/view?usp=share_link,Rational,6,1,5,0,,,"This requires more context. Marcos was excessively loaning, causing national debt to grow to 24.4 billion dollars. While this allowed for economic ""growth"", the country's development crashed when we failed to settle these debts.

[https://econ.upd.edu.ph/perse/?p=5058]",,,
11-27,28/03/23 12:21:15,https://twitter.com/elithegraphics/status/719113354384551936,11,"Balete, Immanuel Josiah",MRCS,Philippines richest in Asia under Marcos Sr. administration,marcos richest,@elithegraphics,Elithe,art (but seasonal),Anonymous,07/14,465,572,pretty visuals,OH COME ON LET'S BE HONEST TO OURSELVES PHILIPPINES WAS THE RICHEST COUNTRY ON ASIA WHEN PRES. MARCOS WAS THE RULER #PiliPinasDebate2016,,Text,10/04/16 18:42,https://drive.google.com/file/d/1qBsgv9Ohg5LHhK-xe4S4Y07wgxEXSLK5/view?usp=share_link,Emotional,4,0,1,0,,,"During Marcos' term as president, the highest ranking that the Philippines reached in Asia was 10th in terms of GDP and 11th in terms of GDP per capita. The Philippines was never close to being in the top five in Asia in either of these economic measures. 

[https://www.rappler.com/newsbreak/fact-check/philippines-richest-country-next-japan-marcos-term/]",Fake location,,
11-28,28/03/23 12:22:31,https://twitter.com/bcedrosa/status/730159861158187009,11,"Balete, Immanuel Josiah",MRCS,Philippines richest in Asia under Marcos Sr. administration,marcos richest,@bcedrosa,"Bhij C. Edrosa, RPh",Pharmacist by profession! Thomasian! Leo!,Identified,05/12,137,10,,"@crunchybianca 
@sandromarcos7
 but come to think of it... From 3rd richest country during Marcos' down to 2nd to the poorest after his term!",,Text,11/05/16 06:17,https://drive.google.com/file/d/1AAxID_W9fGNjA9fqJAG4pimbzgyBsWmw/view?usp=share_link,Emotional,1,0,0,0,,,"During Marcos' term as president, the highest ranking that the Philippines reached in Asia was 10th in terms of GDP and 11th in terms of GDP per capita. The Philippines was never close to being in the top five in Asia in either of these economic measures. 

[https://www.rappler.com/newsbreak/fact-check/philippines-richest-country-next-japan-marcos-term/]",No location,,
11-29,28/03/23 12:23:02,https://twitter.com/francisgem543/status/730732744410456065,11,"Balete, Immanuel Josiah",MRCS,Philippines richest in Asia under Marcos Sr. administration,marcos richest,@francisgem543,Gemelle Francisco,Sports Music,Anonymous,05/16,11,10,"General Trias, Calabarzon","Marcos made Philippines 2nd richest country in Asia, now that is non fiction, that is a reality #RPNonFiction",,Text,12/05/16 20:13,https://drive.google.com/file/d/1ROgExxuQ_DtRupr10nauSj6CARvvo0Ci/view?usp=share_link,Rational,0,1,0,0,,,"During Marcos' term as president, the highest ranking that the Philippines reached in Asia was 10th in terms of GDP and 11th in terms of GDP per capita. The Philippines was never close to being in the top five in Asia in either of these economic measures. 

[https://www.rappler.com/newsbreak/fact-check/philippines-richest-country-next-japan-marcos-term/]",Account seems like a troll,,
